,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
0,Xkr4,0.0242434393246887,0.0947762747642254,0.1673144523282064,0.0045328783455906,0.0034975371751899,0.0011695350456876,1.9669315731319743,-1.5804042984243094,-5.205990815625174,-1.39238373237878,0.2859908074056694,0.0324462396247421
6,Rrs1,0.2165940947353869,0.4231316896913455,0.4152475520349679,0.0676456911550333,0.0526323604420679,0.0370402427246447,0.9661128282490692,-0.5068565452769589,-2.6179017167205814,-0.414130707731352,102.11713763186737,68.67048806368823
8,Sgk3,0.0343597847230809,0.1373113772080856,0.2510227598858356,0.0118661312303611,0.0068785509539108,0.0020646620347411,1.9986582652206253,-1.736199030876817,-4.402896629048675,-1.9560805837613,5.704801246349977,1.33826481511532
9,Tcf24,0.1585350013556804,0.2214324014238108,0.1887450847563281,0.007555724613964,0.0055027308871794,0.0019322326798234,0.4820649483280524,-1.509878940684879,-4.642725144170902,-1.62383430082629,4.11259952525573,1.085209944309988
11,Arfgef1,0.0082206550517577,0.0112097068133618,0.1551552844724263,0.0778441617860789,0.0320199674565652,0.0477635846216646,0.4474232825661068,0.5769392722860908,-0.9950520866463692,0.7150941694532,51.450134366565685,80.43434973378918
12,Prex2,0.0166219753803766,0.0667148267683455,0.2444994110752113,0.0807441873046478,0.0064707649583618,0.0077809138231736,2.004915578670057,0.2660033270641156,-1.5984006797203338,2.02787584905236,3.056315400003711,11.799271582597711
14,Slco5a1,0.0284392347050927,0.0992990376183323,0.2685534039246264,0.042330053952571,0.005842219903493,0.0038777264820892,1.8038970927739184,-0.5913056171887486,-2.665454775239548,1.86348948103366,2.197368288040733,7.625537986722314
21,Jph1,0.0266961641581169,0.1089786318136512,0.1874229582514094,0.0148932827080763,0.0076607402069729,0.0020687506981285,2.029340915550496,-1.8887239982470156,-3.653563999586256,-1.42305091095653,9.83466273686242,3.301625300227345
28,Kcnq5,0.0254404014581896,0.1033155102053251,0.1339995826474853,0.0047542073590732,0.0030064390407277,0.0012194680066199,2.021863512424105,-1.3018037976304295,-4.816879867967064,-1.46897605802279,0.995204250351262,0.2285094120812839
29,Rims1,0.0226995625996204,0.0666397342841591,0.1543475784307763,0.0543250285056518,0.0038714144017676,0.0102095897712451,1.5537181498532124,1.3989922496810636,-1.5064939170577576,3.50298750151757,2.786761278648642,29.99390085621469
39,Bag2,0.0220983818033608,0.1136517323612266,0.3446935739750382,0.0549060429785536,0.0178543104333303,0.0058345313648603,2.362607040446441,-1.6135837283815198,-2.650277556590385,-2.36393620174054,19.7765771373782,3.4896120603278726
44,Arid5a,0.0217472492714006,0.0352637322457707,0.3189005775465852,0.0836763789129311,0.0316116671653068,0.010428227516859,0.6973522434382025,-1.5999631592418009,-1.930214384830748,-1.17650567763672,2.5111504083056344,0.9494547668351884
55,2010300C02Rik,0.028930821778277,0.175316193605433,0.3364213492640771,0.0074974808243123,0.0043362105382972,0.0015233885635769,2.599280052472461,-1.509150836097547,-5.487719524314423,-4.08964894618859,1.9219758417628776,0.0517802350662751
61,Lonrf2,0.0356546080451233,0.1624637880412179,0.3212813616220387,0.0068332240804119,0.00713515076631,0.001551797674215,2.187957738576226,-2.201003445313627,-5.555127040903664,-3.34367344910531,2.741405376192409,0.2164053815491581
82,Nab1,0.0245473986846401,0.0914057346293353,0.2045064040767414,0.0312267784967329,0.0080736795115313,0.0031167841110718,1.8967145315532916,-1.3731680916087086,-2.711290374725305,-1.18881187027929,16.263664932678413,6.38960241942331
87,Hecw2,0.0200220112909147,0.1162813136986201,0.2611885604315173,0.0302210822922309,0.0050285074110332,0.0040667426035619,2.5379604646172504,-0.3062565538129753,-3.111464477890969,1.75515148290248,2.040619871638899,6.578705829457308
94,Boll,0.0356665544203817,0.1213881744920188,0.1668366481706116,0.006136971304031,0.0047090472264466,0.001523519561372,1.7669841270052378,-1.628027167557018,-4.764765585391942,-2.71419185739772,1.9606499029059703,0.206560110530605
96,Spats2l,0.027939773857462,0.1523104733959168,0.2846809321507032,0.0053816290406239,0.0052524795480514,0.0013833533073646,2.446622901109792,-1.9248289726397172,-5.7251591063319465,-1.4453981380407,1.760768793142282,0.5079793934634876
117,Pard3b,0.0215640493755134,0.1169152541904783,0.2179950586816184,0.0051098610210546,0.0036038726023903,0.0012415144603336,2.4387631505890552,-1.5374469473340215,-5.414867570407773,-1.58551227448337,0.3061334583132676,0.0500448157460429
123,Zdbf2,0.017830472841896,0.0174385598939112,0.1395302613084489,0.0841353410284883,0.0500475813018268,0.0518822517088852,-0.0320640571318229,0.0519407462274008,-0.7297942109509461,0.401433975443097,152.00898496839756,191.03728758516792
140,Tns1,0.0378502796307139,0.2217057967237532,0.3858936162979675,0.0055511403162606,0.007143460692168,0.0014907818845666,2.550270627707494,-2.2605539726446886,-6.119275207270388,-3.64972149767339,7.335331165924451,0.5253458131595063
148,Cdk5r2,0.5922916441546051,0.582747731658712,0.0686191067664089,0.0057853192804624,0.0046868175065132,0.0009479480722334,-0.023436249549306,-2.3057286839814672,-3.5681418599019787,-1.73450030070825,8.650225781051915,2.134455608402253
157,Des,0.0608486685427752,0.2463179007624135,0.3288617653088136,0.0123927046516627,0.0136484701847939,0.0028581339132153,2.017223877084036,-2.255593834680819,-4.729918296222041,-3.61617411812309,12.25178151084078,0.8593873198855482
158,Speg,0.1073524378647242,0.2551660000085788,0.3370834386595095,0.0130178213897974,0.0112564851950177,0.0021826192464968,1.249081154052979,-2.366624038209515,-4.694545817429685,-1.57391675039972,3.2134003850171045,0.9460563586875332
161,Obsl1,0.0605666944063295,0.1791480601555288,0.3523336818562393,0.0334874017724236,0.0237320654953621,0.0047197969823268,1.5645558422874264,-2.330040959591682,-3.395252048605581,-3.62360798710916,22.709465184523644,1.6914386567986246
165,Epha4,0.0161508517167606,0.0207501221686077,0.3347386970797597,0.1272291267617656,0.0116887971340971,0.0311174926863906,0.3615095829181727,1.4125993456078352,-1.395606354904379,2.52354630273034,13.038856958536751,70.73310956982652
173,Dock10,0.0212847758831029,0.1088633493761161,0.1844222571627623,0.004712577432931,0.0034455404150475,0.0012001866015065,2.3546245244251245,-1.5214715505879628,-5.290352645299598,-4.51286314582411,0.5166092297067589,0.0060290407083481
180,2810459M11Rik,0.1320007882703957,0.2762522435711457,0.303500270459521,0.0094825629563142,0.0072861551760036,0.0028452305912984,1.065439636374114,-1.35661214075067,-5.000276947047493,-2.97655335359091,1.3110117553315932,0.0856566442290484
184,Efhd1,0.0534380317881814,0.2026183362500358,0.4387945876093614,0.0073355928882417,0.0053411066858847,0.001679066118061,1.9228259618579997,-1.6694796599531985,-5.902488346180644,-2.4370662644327,6.486074017494927,0.9717029366520312
188,Arl4c,0.0517100823412201,0.1748912299273636,0.3793556917154563,0.0085107994449967,0.0102696314910585,0.0018355867839116,1.7579404386475284,-2.484071184115477,-5.478112718371544,-2.92225614107809,8.235128605244618,0.9880251771721776
197,Per2,0.0360705792156297,0.1983037127257438,0.3027717040263893,0.0075381035690413,0.0088283732283939,0.0019372870944072,2.4588171935727647,-2.188109853700908,-5.327884955310838,-2.64898694700623,3.297841049051509,0.4389439883113593
200,Rnpepl1,0.0310459244881545,0.0291961542903198,0.2561962702140046,0.1067161762025696,0.0367191095823655,0.0331826815307693,-0.0886255428182442,-0.146100597782228,-1.263470593945982,0.305885348748315,14.292563386294267,17.068444441151435
201,Kif1a,0.0462967624013067,0.2029963029484755,0.2573243836812009,0.0079423691291523,0.0087050871850405,0.0019557490629058,2.132470240297076,-2.1541374734324963,-5.017874947946673,-3.63283357983273,8.453941142043739,0.5603973085483839
202,Sned1,0.0235826716830618,0.0272615560954492,0.2700635497617631,0.1106690801951385,0.0195698276824314,0.0439271331960034,0.2091407432032073,1.1664812956020918,-1.2870467294808523,1.92137505065921,5.653057740670878,25.29689842907712
209,D1Ertd622e,0.0284776815496354,0.0968675935161606,0.2108569075972476,0.0311728853584554,0.0072419206006542,0.0026525088530256,1.7661824041003136,-1.449014793112223,-2.75790068263446,-0.592436133932576,0.8536224658642332,0.4669657729365809
